ID,City,Mayor,State,Population,Literacy,Sector_No
83e1a2b3-c4d5-4e5f-6a7b-8c9d0e1f2a3b,Alwar,Sanjay Sharma,Rajasthan,341422,70.7,18
7b2a3c4d-5e6f-4a7b-8c9d-0e1f2a3b4c5d,Mumbai,Kishori Pednekar,Maharashtra,12442373,89.7,104
a1b2c3d4-e5f6-4a5b-8c9d-0e1f2a3b4c5d,New York,Eric Adams,New York,8335897,86.0,42
d5e6f7a8-b9c0-4d1e-8f2a-3b4c5d6e7f8a,London,Sadiq Khan,Greater London,8982000,99.0,12
c9d8b7a6-e5f4-4d3c-b2a1-0987654321fe,Jaipur,Somya Gurjar,Rajasthan,3046163,75.5,65
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a5b,Tokyo,Yuriko Koike,Tokyo,13960000,99.0,23
1a2b3c4d-5e6f-4a7b-8c9d-0e1f2a3b4c5d,Bengaluru,M. Goutham Kumar,Karnataka,8443675,88.5,99
2b3c4d5e-6f7a-4b8c-9d0e-1a2b3c4d5e6f,Berlin,Kai Wegner,Berlin,3769000,99.0,7
3c4d5e6f-7a8b-4c9d-0e1f-2a3b4c5d6e7f,Seoul,Oh Se-hoon,Seoul Capital,9776000,98.0,15
4d5e6f7a-8b9c-4d0e-1f2a-3b4c5d6e7f8a,Delhi,Shelly Oberoi,Delhi,16787941,86.2,110
5e6f7a8b-9c0d-4e1f-2a3b-4c5d6e7f8a9b,Paris,Anne Hidalgo,Île-de-France,2161000,99.0,20
6f7a8b9c-0d1e-4f2a-3b4c-5d6e7f8a9b0c,Singapore,Low Yen Ling,Central Singapore,5637000,97.0,1
7a8b9c0d-1e2f-4a3b-4c5d-6e7f8a9b0c1d,Dubai,Dawood Al Hajri,Dubai,3331000,96.0,55
8b9c0d1e-2f3a-4b4c-5d6e-7f8a9b0c1d2e,Sydney,Clover Moore,New South Wales,5312000,99.0,8
9c0d1e2f-3a4b-4c5d-6e7f-8a9b0c1d2e3f,Ahmedabad,Kirit Parmar,Gujarat,5577940,88.3,45
0d1e2f3a-4b5c-4d6e-7f8a-9b0c1d2e3f4a,Toronto,Olivia Chow,Ontario,2731571,99.0,14
1e2f3a4b-5c6d-4e7f-8a9b-0c1d2e3f4a5b,Pune,Murlidhar Mohol,Maharashtra,3124458,89.5,32
2f3a4b5c-6d7e-4f8a-9b0c-1d2e3f4a5b6c,Hyderabad,Gadwal Vijayalakshmi,Telangana,6731790,83.2,78
3a4b5c6d-7e8f-4a9b-0c1d-2e3f4a5b6c7d,Chandigarh,Anup Gupta,Chandigarh,1055450,86.0,17
4b5c6d7e-8f9a-4b0c-1d2e-3f4a5b6c7d8e,Chennai,R. Priya,Tamil Nadu,7088000,90.2,52
