MANDT,VBELN,POSNR,ARKTX,NETWR,WAERK,ERDAT,ERZET,KUNNR_ANA
100,1,10,Laptop-Dragonfly,1000.00,GBP,2024-11-14,04:32:06 PM,17100001
100,2,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2024-11-14,11:30:59 PM,17100001
100,3,10,Laptop MTO- Production-10-Dlfy,2000.00,GBP,2024-11-28,04:35:38 PM,17100001
100,3,20,LAPTOP MTO Config.material Variant-20-df,330.00,GBP,2024-11-28,04:35:38 PM,17100001
100,3,30,LAPTOP MTO Configurable material-20 Dfly,100.00,GBP,2024-11-28,04:35:38 PM,17100001
100,4,10,MTO component 1-Stratergy-10,100000.00,GBP,2024-11-28,07:17:20 PM,17100001
100,4,20,MTO component 2- Stratergy-10,110000.00,GBP,2024-11-28,07:17:48 PM,17100001
100,4,30,Laptop MTO- Production-10-Dlfy,1100000.00,GBP,2024-11-28,07:17:48 PM,17100001
100,5,10,Laptop MTO- Production-10-Dlfy,10000.00,GBP,2024-11-28,09:09:56 PM,17100001
100,5,20,MTO component 1-Stratergy-10,1100.00,GBP,2024-11-28,09:09:56 PM,17100001
100,5,30,MTO component 2- Stratergy-10,1320.00,GBP,2024-11-28,09:09:56 PM,17100001
100,6,10,Laptop MTO- Production-10-Dlfy,100.00,GBP,2024-12-06,12:10:39 AM,17100001
100,7,10,'aptop MTO- Production-10-Dlfy,100.00,GBP,2024-12-06,10:38:48 PM,17100001
100,8,10,Tablet 8gb Ram + 256gb ram,0,GBP,2024-12-12,11:01:04 PM,17100001
100,27,10,Material with stock,10000.00,GBP,2025-01-25,03:23:28 AM,17100002
100,28,10,Material with stock,5000.00,GBP,2025-01-25,03:28:36 AM,17100002
100,29,10,Material with stock,150000.00,GBP,2025-02-06,03:45:12 AM,17100001
100,30,1,Laptop MTO- Production-10-Dlfy,2000.00,GBP,2025-02-20,07:10:39 AM,17100001
100,31,10,Laptop MTO- Production-10-Dlfy,4000.00,GBP,2025-04-10,05:05:43 PM,17100001
100,32,10,Laptop MTO- Production-10-Dlfy,1200.00,GBP,2025-04-10,05:12:20 PM,17100001
100,33,10,Laptop MTO- Production-10-Dlfy,2200.00,GBP,2025-04-11,09:35:15 AM,17100001
100,34,10,Laptop MTO- Production-10-Dlfy,3300.00,GBP,2025-04-11,09:43:16 AM,17100001
100,35,10,Laptop MTO- Production-10-Dlfy,1000.00,GBP,2025-04-14,06:16:02 AM,17100001
100,36,10,Laptop MTO- Production-10-Dlfy,1300.00,GBP,2025-04-15,09:08:47 AM,17100001
100,37,10,Laptop MTO- Production-10-Dlfy,2000.00,GBP,2025-04-21,10:11:43 AM,17100001
100,38,10,Laptop MTO- Production-10-Dlfy,1100.00,GBP,2025-04-22,08:36:12 AM,17100001
100,39,10,Laptop MTO- Production-10-Dlfy,1400.00,GBP,2025-04-23,09:07:52 AM,17100001
100,40,10,Laptop MTO- Production-10-Dlfy,1500.00,GBP,2025-04-24,08:30:48 AM,17100001
100,41,10,Laptop MTO- Production-10-Dlfy,1600.00,GBP,2025-04-25,09:58:38 AM,17100001
